IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Standard,Standard to UTC,Daylight_20150308_0200,Daylight to UTC
ESC,Delta County Airport,Escanaba,MI,USA,45.72267,-87.09373,EST,UTC -5,EDT,UTC -4
EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866,EST,UTC -5,EDT,UTC -4
EYW,Key West International Airport,Key West,FL,USA,24.55611,-81.75956,EST,UTC -5,EDT,UTC -4
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275,EST,UTC -5,EDT,UTC -4
FNT,Bishop International Airport,Flint,MI,USA,42.9655,-83.74346,EST,UTC -5,EDT,UTC -4
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,USA,43.58135,-96.7417,EST,UTC -5,EDT,UTC -4
GGG,East Texas Regional Airport,Longview,TX,USA,32.38486,-94.71171,EST,UTC -5,EDT,UTC -4
GNV,Gainesville Regional Airport,Gainesville,FL,USA,29.69006,-82.27178,EST,UTC -5,EDT,UTC -4
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,USA,31.0649,-97.8278,EST,UTC -5,EDT,UTC -4
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,USA,42.88082,-85.52277,EST,UTC -5,EDT,UTC -4
GSP,Greenville-Spartanburg International Airport,Greer,SC,USA,34.89567,-82.21886,EST,UTC -5,EDT,UTC -4
GUM,Guam International Airport,Agana,GU,USA,13.48345,-144.79598,EST,UTC -5,EDT,UTC -4
HOU,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889,EST,UTC -5,EDT,UTC -4
HPN,Westchester County Airport,White Plains,NY,USA,41.06696,-73.70757,EST,UTC -5,EDT,UTC -4
HRL,Valley International Airport,Harlingen,TX,USA,26.22851,-97.65439,EST,UTC -5,EDT,UTC -4
IAG,Niagara Falls International Airport,Niagara Falls,NY,USA,43.10726,-78.94538,EST,UTC -5,EDT,UTC -4
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,EST,UTC -5,EDT,UTC -4
ILG,Wilmington Airport,Wilmington,DE,USA,39.67872,-75.60653,EST,UTC -5,EDT,UTC -4
IMT,Ford Airport,Iron Mountain/Kingsford,MI,USA,45.81835,-88.11454,EST,UTC -5,EDT,UTC -4
ISP,Long Island MacArthur Airport,Islip,NY,USA,40.79524,-73.10021,EST,UTC -5,EDT,UTC -4
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,USA,42.49103,-76.45844,EST,UTC -5,EDT,UTC -4
JAX,Jacksonville International Airport,Jacksonville,FL,USA,30.49406,-81.68786,EST,UTC -5,EDT,UTC -4
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893,EST,UTC -5,EDT,UTC -4
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,USA,42.7787,-84.58736,EST,UTC -5,EDT,UTC -4
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA,33.66364,-101.82278,EST,UTC -5,EDT,UTC -4
LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.27594,-79.4048,EST,UTC -5,EDT,UTC -4
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261,EST,UTC -5,EDT,UTC -4
LRD,Laredo International Airport,Laredo,TX,USA,27.54374,-99.46154,EST,UTC -5,EDT,UTC -4
MAF,Midland International Airport,Midland,TX,USA,31.94253,-102.20191,EST,UTC -5,EDT,UTC -4
MBS,MBS International Airport,Saginaw,MI,USA,43.53291,-84.07965,EST,UTC -5,EDT,UTC -4
MCO,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603,EST,UTC -5,EDT,UTC -4
MDT,Harrisburg International Airport,Harrisburg,PA,USA,40.1935,-76.7634,EST,UTC -5,EDT,UTC -4
MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667,EST,UTC -5,EDT,UTC -4
MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,USA,26.17583,-98.23861,EST,UTC -5,EDT,UTC -4
MHT,Manchester-Boston Regional Airport,Manchester,NH,USA,42.93452,-71.43706,EST,UTC -5,EDT,UTC -4
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,EST,UTC -5,EDT,UTC -4
MKG,Muskegon County Airport,Muskegon,MI,USA,43.16949,-86.23822,EST,UTC -5,EDT,UTC -4
MLB,Melbourne International Airport,Melbourne,FL,USA,28.10275,-80.64581,EST,UTC -5,EDT,UTC -4
MQT,Sawyer International Airport,Marquette,MI,USA,46.35364,-87.39536,EST,UTC -5,EDT,UTC -4
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,USA,33.67975,-78.92833,EST,UTC -5,EDT,UTC -4
PBG,Plattsburgh International Airport,Plattsburgh,NY,USA,,,EST,UTC -5,EDT,UTC -4
PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.68316,-80.09559,EST,UTC -5,EDT,UTC -4
PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114,EST,UTC -5,EDT,UTC -4
PIT,Pittsburgh International Airport,Pittsburgh,PA,USA,40.49147,-80.23287,EST,UTC -5,EDT,UTC -4
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,USA,45.57093,-84.79672,EST,UTC -5,EDT,UTC -4
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,USA,30.47331,-87.18744,EST,UTC -5,EDT,UTC -4
PSE,Mercedita Airport,Ponce,PR,USA,18.0083,-66.56301,EST,UTC -5,EDT,UTC -4
PVD,Theodore Francis Green State Airport,Providence,RI,USA,41.724,-71.42822,EST,UTC -5,EDT,UTC -4
PWM,Portland International Jetport,Portland,ME,USA,43.64617,-70.30875,EST,UTC -5,EDT,UTC -4
RAP,Rapid City Regional Airport,Rapid City,SD,USA,44.04532,-103.05737,EST,UTC -5,EDT,UTC -4
ROC,Greater Rochester International Airport,Rochester,NY,USA,43.11887,-77.67238,EST,UTC -5,EDT,UTC -4
RSW,Southwest Florida International Airport,Ft. Myers,FL,USA,26.53617,-81.75517,EST,UTC -5,EDT,UTC -4
SAT,San Antonio International Airport,San Antonio,TX,USA,29.53369,-98.46978,EST,UTC -5,EDT,UTC -4
SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA,32.12758,-81.20214,EST,UTC -5,EDT,UTC -4
SCE,University Park Airport,State College,PA,USA,40.85121,-77.8463,EST,UTC -5,EDT,UTC -4
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,USA,31.35775,-100.49631,EST,UTC -5,EDT,UTC -4
SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.43942,-66.00183,EST,UTC -5,EDT,UTC -4
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA,33.9888,-98.49189,EST,UTC -5,EDT,UTC -4
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.39533,-82.55411,EST,UTC -5,EDT,UTC -4
SWF,Stewart International Airport,Newburgh,NY,USA,41.50409,-74.10484,EST,UTC -5,EDT,UTC -4
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11119,-76.10631,EST,UTC -5,EDT,UTC -4
TLH,Tallahassee International Airport,Tallahassee,FL,USA,30.39653,-84.35033,EST,UTC -5,EDT,UTC -4
TOL,Toledo Express Airport,Toledo,OH,USA,41.58681,-83.80783,EST,UTC -5,EDT,UTC -4
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,EST,UTC -5,EDT,UTC -4
TRI,Tri-Cities Regional Airport,Bristol,TN,USA,36.47521,-82.40742,EST,UTC -5,EDT,UTC -4
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.27669,-74.81347,EST,UTC -5,EDT,UTC -4
TVC,Cherry Capital Airport,Traverse City,MI,USA,44.74144,-85.58224,EST,UTC -5,EDT,UTC -4
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA,32.35414,-95.40239,EST,UTC -5,EDT,UTC -4
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81249,-83.99286,EST,UTC -5,EDT,UTC -4
UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,USA,,,EST,UTC -5,EDT,UTC -4
VLD,Valdosta Regional Airport,Valdosta,GA,USA,30.7825,-83.27672,EST,UTC -5,EDT,UTC -4
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48325,-86.5254,EST,UTC -5,EDT,UTC -4
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034,CST,UTC -6,CDT,UTC -5
BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.56444,-116.22278,CST,UTC -6,CDT,UTC -5
CID,The Eastern Iowa Airport,Cedar Rapids,IA,USA,41.88459,-91.71087,CST,UTC -6,CDT,UTC -5
DBQ,Dubuque Regional Airport,Dubuque,IA,USA,42.40296,-90.70917,CST,UTC -6,CDT,UTC -5
DSM,Des Moines International Airport,Des Moines,IA,USA,41.53493,-93.66068,CST,UTC -6,CDT,UTC -5
HNL,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241,HST,UTC -10,HST,UTC -10
