IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Standard,Standard to UTC,Daylight_20150308_0200,Daylight to UTC
ADK,Adak Airport,Adak,AK,USA,51.87796,-176.64603,AKST,UTC -9,AKST,UTC -9
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386,AKST,UTC -9,AKST,UTC -9
AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64922,AKST,UTC -9,AKST,UTC -9
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619,AKST,UTC -9,AKST,UTC -9
BET,Bethel Airport,Bethel,AK,USA,60.77978,-161.838,AKST,UTC -9,AKST,UTC -9
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.28545,-156.766,AKST,UTC -9,AKST,UTC -9
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183,-145.47765,AKST,UTC -9,AKST,UTC -9
DLG,Dillingham Airport,Dillingham,AK,USA,59.04541,-158.50334,AKST,UTC -9,AKST,UTC -9
FAI,Fairbanks International Airport,Fairbanks,AK,USA,64.81368,-147.85967,AKST,UTC -9,AKST,UTC -9
GST,Gustavus Airport,Gustavus,AK,USA,58.42438,-135.70738,AKST,UTC -9,AKST,UTC -9
JNU,Juneau International Airport,Juneau,AK,USA,58.35496,-134.57628,AKST,UTC -9,AKST,UTC -9
KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.35557,-131.71374,AKST,UTC -9,AKST,UTC -9
OME,Nome Airport,Nome,AK,USA,64.5122,-165.44525,AKST,UTC -9,AKST,UTC -9
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,USA,66.88468,-162.59855,AKST,UTC -9,AKST,UTC -9
PSG,Petersburg James A. Johnson Airport,Petersburg,AK,USA,56.80165,-132.94528,AKST,UTC -9,AKST,UTC -9
SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,USA,70.19476,-148.46516,AKST,UTC -9,AKST,UTC -9
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616,AKST,UTC -9,AKST,UTC -9
WRG,Wrangell Airport,Wrangell,AK,USA,56.48433,-132.36982,AKST,UTC -9,AKST,UTC -9
YAK,Yakutat Airport,Yakutat,AK,USA,59.50336,-139.66023,AKST,UTC -9,AKST,UTC -9
